"GOTermMatch","Term","Ontology","GOId","TermFromMSigDB"
"contractileactinfilamentbundleassembly","contractile actin filament bundle assembly","BP","GO:0030038","GO_CONTRACTILE_ACTIN_FILAMENT_BUNDLE_ASSEMBLY"
"contractilefiber","contractile fiber","CC","GO:0043292","GO_CONTRACTILE_FIBER"
"convergentextension","convergent extension","BP","GO:0060026","GO_CONVERGENT_EXTENSION"
"cop9signalosome","COP9 signalosome","CC","GO:0008180","GO_COP9_SIGNALOSOME"
"copicoatedvesicle","COPI-coated vesicle","CC","GO:0030137","GO_COPI_COATED_VESICLE"
"copicoatedvesiclemembrane","COPI-coated vesicle membrane","CC","GO:0030663","GO_COPI_COATED_VESICLE_MEMBRANE"
"copivesiclecoat","COPI vesicle coat","CC","GO:0030126","GO_COPI_VESICLE_COAT"
"copperionbinding","copper ion binding","MF","GO:0005507","GO_COPPER_ION_BINDING"
"copperionhomeostasis","copper ion homeostasis","BP","GO:0055070","GO_COPPER_ION_HOMEOSTASIS"
"copperiontransport","copper ion transport","BP","GO:0006825","GO_COPPER_ION_TRANSPORT"
"copulation","copulation","BP","GO:0007620","GO_COPULATION"
"coreceptoractivity","coreceptor activity","MF","GO:0015026","GO_CORECEPTOR_ACTIVITY"
"corepromoterbinding","core promoter binding","MF","GO:0001047","GO_CORE_PROMOTER_BINDING"
"corepromoterproximalregiondnabinding","core promoter proximal region DNA binding","MF","GO:0001159","GO_CORE_PROMOTER_PROXIMAL_REGION_DNA_BINDING"
"corepromotersequencespecificdnabinding","core promoter sequence-specific DNA binding","MF","GO:0001046","GO_CORE_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING"
"cornifiedenvelope","cornified envelope","CC","GO:0001533","GO_CORNIFIED_ENVELOPE"
"coronaryvasculaturedevelopment","coronary vasculature development","BP","GO:0060976","GO_CORONARY_VASCULATURE_DEVELOPMENT"
"corpuscallosumdevelopment","corpus callosum development","BP","GO:0022038","GO_CORPUS_CALLOSUM_DEVELOPMENT"
"corticalactincytoskeleton","cortical actin cytoskeleton","CC","GO:0030864","GO_CORTICAL_ACTIN_CYTOSKELETON"
"corticalcytoskeleton","cortical cytoskeleton","CC","GO:0030863","GO_CORTICAL_CYTOSKELETON"
"corticalcytoskeletonorganization","cortical cytoskeleton organization","BP","GO:0030865","GO_CORTICAL_CYTOSKELETON_ORGANIZATION"
"cosmadbinding","co-SMAD binding","MF","GO:0070410","GO_CO_SMAD_BINDING"
"costamere","costamere","CC","GO:0043034","GO_COSTAMERE"
"covalentchromatinmodification","GO_COVALENT_CHROMATIN_MODIFICATION",NA,NA,"GO_COVALENT_CHROMATIN_MODIFICATION"
"cranialnervedevelopment","cranial nerve development","BP","GO:0021545","GO_CRANIAL_NERVE_DEVELOPMENT"
"cranialnervemorphogenesis","cranial nerve morphogenesis","BP","GO:0021602","GO_CRANIAL_NERVE_MORPHOGENESIS"
"cranialskeletalsystemdevelopment","cranial skeletal system development","BP","GO:1904888","GO_CRANIAL_SKELETAL_SYSTEM_DEVELOPMENT"
"craniofacialsuturemorphogenesis","craniofacial suture morphogenesis","BP","GO:0097094","GO_CRANIOFACIAL_SUTURE_MORPHOGENESIS"
"creatinemetabolicprocess","creatine metabolic process","BP","GO:0006600","GO_CREATINE_METABOLIC_PROCESS"
"cristaeformation","cristae formation","BP","GO:0042407","GO_CRISTAE_FORMATION"
"cterminalproteinaminoacidmodification","C-terminal protein amino acid modification","BP","GO:0018410","GO_C_TERMINAL_PROTEIN_AMINO_ACID_MODIFICATION"
"cul3ringubiquitinligasecomplex","Cul3-RING ubiquitin ligase complex","CC","GO:0031463","GO_CUL3_RING_UBIQUITIN_LIGASE_COMPLEX"
"cul4ringe3ubiquitinligasecomplex","Cul4-RING E3 ubiquitin ligase complex","CC","GO:0080008","GO_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX"
"cullinfamilyproteinbinding","cullin family protein binding","MF","GO:0097602","GO_CULLIN_FAMILY_PROTEIN_BINDING"
"cullinringubiquitinligasecomplex","cullin-RING ubiquitin ligase complex","CC","GO:0031461","GO_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX"
"cxcrchemokinereceptorbinding","CXCR chemokine receptor binding","MF","GO:0045236","GO_CXCR_CHEMOKINE_RECEPTOR_BINDING"
"cyclaseactivity","cyclase activity","MF","GO:0009975","GO_CYCLASE_ACTIVITY"
"cyclicnucleotidebinding","cyclic nucleotide binding","MF","GO:0030551","GO_CYCLIC_NUCLEOTIDE_BINDING"
"cyclicnucleotidebiosyntheticprocess","cyclic nucleotide biosynthetic process","BP","GO:0009190","GO_CYCLIC_NUCLEOTIDE_BIOSYNTHETIC_PROCESS"
"cyclicnucleotidecatabolicprocess","cyclic nucleotide catabolic process","BP","GO:0009214","GO_CYCLIC_NUCLEOTIDE_CATABOLIC_PROCESS"
"cyclicnucleotidegatedionchannelactivity","cyclic nucleotide-gated ion channel activity","MF","GO:0043855","GO_CYCLIC_NUCLEOTIDE_GATED_ION_CHANNEL_ACTIVITY"
"cyclicnucleotidemediatedsignaling","cyclic-nucleotide-mediated signaling","BP","GO:0019935","GO_CYCLIC_NUCLEOTIDE_MEDIATED_SIGNALING"
"cyclicnucleotidemetabolicprocess","cyclic nucleotide metabolic process","BP","GO:0009187","GO_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS"
"cyclicnucleotidephosphodiesteraseactivity","cyclic-nucleotide phosphodiesterase activity","MF","GO:0004112","GO_CYCLIC_NUCLEOTIDE_PHOSPHODIESTERASE_ACTIVITY"
"cyclinbinding","cyclin binding","MF","GO:0030332","GO_CYCLIN_BINDING"
"cyclindependentproteinkinaseactivity","cyclin-dependent protein kinase activity","MF","GO:0097472","GO_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY"
"cyclindependentproteinkinaseholoenzymecomplex","cyclin-dependent protein kinase holoenzyme complex","CC","GO:0000307","GO_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX"
"cyclindependentproteinserinethreoninekinaseinhibitoractivity","cyclin-dependent protein serine/threonine kinase inhibitor activity","MF","GO:0004861","GO_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY"
"cyclindependentproteinserinethreoninekinaseregulatoractivity","cyclin-dependent protein serine/threonine kinase regulator activity","MF","GO:0016538","GO_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_REGULATOR_ACTIVITY"
"cyclooxygenasepathway","cyclooxygenase pathway","BP","GO:0019371","GO_CYCLOOXYGENASE_PATHWAY"
"cysteinetypeendopeptidaseactivity","cysteine-type endopeptidase activity","MF","GO:0004197","GO_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY"
"cysteinetypeendopeptidaseactivityinvolvedinapoptoticprocess","cysteine-type endopeptidase activity involved in apoptotic process","MF","GO:0097153","GO_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS"
"cysteinetypeendopeptidaseinhibitoractivity","cysteine-type endopeptidase inhibitor activity","MF","GO:0004869","GO_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY"
"cysteinetypeendopeptidaseinhibitoractivityinvolvedinapoptoticprocess","cysteine-type endopeptidase inhibitor activity involved in apoptotic process","MF","GO:0043027","GO_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS"
"cysteinetypeendopeptidaseregulatoractivityinvolvedinapoptoticprocess","cysteine-type endopeptidase regulator activity involved in apoptotic process","MF","GO:0043028","GO_CYSTEINE_TYPE_ENDOPEPTIDASE_REGULATOR_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS"
"cysteinetypepeptidaseactivity","cysteine-type peptidase activity","MF","GO:0008234","GO_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY"
"cytochromecomplex","cytochrome complex","CC","GO:0070069","GO_CYTOCHROME_COMPLEX"
"cytochromecomplexassembly","cytochrome complex assembly","BP","GO:0017004","GO_CYTOCHROME_COMPLEX_ASSEMBLY"
"cytokineactivity","cytokine activity","MF","GO:0005125","GO_CYTOKINE_ACTIVITY"
"cytokinebinding","cytokine binding","MF","GO:0019955","GO_CYTOKINE_BINDING"
"cytokinemediatedsignalingpathway","cytokine-mediated signaling pathway","BP","GO:0019221","GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY"
"cytokinemetabolicprocess","cytokine metabolic process","BP","GO:0042107","GO_CYTOKINE_METABOLIC_PROCESS"
"cytokineproduction","cytokine production","BP","GO:0001816","GO_CYTOKINE_PRODUCTION"
"cytokineproductioninvolvedinimmuneresponse","cytokine production involved in immune response","BP","GO:0002367","GO_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE"
"cytokinereceptoractivity","cytokine receptor activity","MF","GO:0004896","GO_CYTOKINE_RECEPTOR_ACTIVITY"
"cytokinereceptorbinding","cytokine receptor binding","MF","GO:0005126","GO_CYTOKINE_RECEPTOR_BINDING"
"cytokinesecretion","cytokine secretion","BP","GO:0050663","GO_CYTOKINE_SECRETION"
"cytokinesis","cytokinesis","BP","GO:0000910","GO_CYTOKINESIS"
"cytokineticprocess","cytokinetic process","BP","GO:0032506","GO_CYTOKINETIC_PROCESS"
"cytolysis","cytolysis","BP","GO:0019835","GO_CYTOLYSIS"
"cytoplasmicdyneincomplex","cytoplasmic dynein complex","CC","GO:0005868","GO_CYTOPLASMIC_DYNEIN_COMPLEX"
"cytoplasmicexosomernasecomplex","cytoplasmic exosome (RNase complex)","CC","GO:0000177","GO_CYTOPLASMIC_EXOSOME_RNASE_COMPLEX_"
"cytoplasmicmicrotubule","cytoplasmic microtubule","CC","GO:0005881","GO_CYTOPLASMIC_MICROTUBULE"
"cytoplasmicmicrotubuleorganization","cytoplasmic microtubule organization","BP","GO:0031122","GO_CYTOPLASMIC_MICROTUBULE_ORGANIZATION"
"cytoplasmicmrnaprocessingbody","cytoplasmic mRNA processing body","CC","GO:0000932","GO_CYTOPLASMIC_MRNA_PROCESSING_BODY"
"cytoplasmicmrnaprocessingbodyassembly","cytoplasmic mRNA processing body assembly","BP","GO:0033962","GO_CYTOPLASMIC_MRNA_PROCESSING_BODY_ASSEMBLY"
"cytoplasmicpatternrecognitionreceptorsignalingpathway","cytoplasmic pattern recognition receptor signaling pathway","BP","GO:0002753","GO_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY"
"cytoplasmicregion","cytoplasmic region","CC","GO:0099568","GO_CYTOPLASMIC_REGION"
"cytoplasmicsequesteringofprotein","cytoplasmic sequestering of protein","BP","GO:0051220","GO_CYTOPLASMIC_SEQUESTERING_OF_PROTEIN"
"cytoplasmicsequesteringoftranscriptionfactor","cytoplasmic sequestering of transcription factor","BP","GO:0042994","GO_CYTOPLASMIC_SEQUESTERING_OF_TRANSCRIPTION_FACTOR"
"cytoplasmicsideofmembrane","cytoplasmic side of membrane","CC","GO:0098562","GO_CYTOPLASMIC_SIDE_OF_MEMBRANE"
"cytoplasmicstressgranule","cytoplasmic stress granule","CC","GO:0010494","GO_CYTOPLASMIC_STRESS_GRANULE"
"cytoplasmictranslation","cytoplasmic translation","BP","GO:0002181","GO_CYTOPLASMIC_TRANSLATION"
"cytoplasmictranslationalinitiation","cytoplasmic translational initiation","BP","GO:0002183","GO_CYTOPLASMIC_TRANSLATIONAL_INITIATION"
"cytoplasmicubiquitinligasecomplex","cytoplasmic ubiquitin ligase complex","CC","GO:0000153","GO_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX"
"cytoplasmicvesiclepart","cytoplasmic vesicle part","CC","GO:0044433","GO_CYTOPLASMIC_VESICLE_PART"
"cytoskeletaladaptoractivity","cytoskeletal adaptor activity","MF","GO:0008093","GO_CYTOSKELETAL_ADAPTOR_ACTIVITY"
"cytoskeletalpart","cytoskeletal part","CC","GO:0044430","GO_CYTOSKELETAL_PART"
"cytoskeletalproteinbinding","cytoskeletal protein binding","MF","GO:0008092","GO_CYTOSKELETAL_PROTEIN_BINDING"
"cytoskeleton","cytoskeleton","CC","GO:0005856","GO_CYTOSKELETON"
"cytoskeletondependentcytokinesis","cytoskeleton-dependent cytokinesis","BP","GO:0061640","GO_CYTOSKELETON_DEPENDENT_CYTOKINESIS"
"cytoskeletondependentintracellulartransport","cytoskeleton-dependent intracellular transport","BP","GO:0030705","GO_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT"
"cytoskeletonorganization","cytoskeleton organization","BP","GO:0007010","GO_CYTOSKELETON_ORGANIZATION"
"cytosoliccalciumiontransport","cytosolic calcium ion transport","BP","GO:0060401","GO_CYTOSOLIC_CALCIUM_ION_TRANSPORT"
"cytosoliclargeribosomalsubunit","cytosolic large ribosomal subunit","CC","GO:0022625","GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT"
"cytosolicpart","cytosolic part","CC","GO:0044445","GO_CYTOSOLIC_PART"
"cytosolicproteasomecomplex","cytosolic proteasome complex","CC","GO:0031597","GO_CYTOSOLIC_PROTEASOME_COMPLEX"
"cytosolicribosome","cytosolic ribosome","CC","GO:0022626","GO_CYTOSOLIC_RIBOSOME"
"cytosolicsmallribosomalsubunit","cytosolic small ribosomal subunit","CC","GO:0022627","GO_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT"
"cytosolictransport","cytosolic transport","BP","GO:0016482","GO_CYTOSOLIC_TRANSPORT"
"damageddnabinding","damaged DNA binding","MF","GO:0003684","GO_DAMAGED_DNA_BINDING"
"deacetylaseactivity","deacetylase activity","MF","GO:0019213","GO_DEACETYLASE_ACTIVITY"
"deaminaseactivity","deaminase activity","MF","GO:0019239","GO_DEAMINASE_ACTIVITY"
"deathreceptoractivity","death receptor activity","MF","GO:0005035","GO_DEATH_RECEPTOR_ACTIVITY"
"deathreceptorbinding","death receptor binding","MF","GO:0005123","GO_DEATH_RECEPTOR_BINDING"
"decidualization","decidualization","BP","GO:0046697","GO_DECIDUALIZATION"
"defenseresponse","defense response","BP","GO:0006952","GO_DEFENSE_RESPONSE"
"defenseresponsetobacterium","defense response to bacterium","BP","GO:0042742","GO_DEFENSE_RESPONSE_TO_BACTERIUM"
"defenseresponsetofungus","defense response to fungus","BP","GO:0050832","GO_DEFENSE_RESPONSE_TO_FUNGUS"
"defenseresponsetogramnegativebacterium","defense response to Gram-negative bacterium","BP","GO:0050829","GO_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM"
"defenseresponsetogrampositivebacterium","defense response to Gram-positive bacterium","BP","GO:0050830","GO_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM"
"defenseresponsetootherorganism","defense response to other organism","BP","GO:0098542","GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM"
"defenseresponsetovirus","defense response to virus","BP","GO:0051607","GO_DEFENSE_RESPONSE_TO_VIRUS"
"definitivehemopoiesis","definitive hemopoiesis","BP","GO:0060216","GO_DEFINITIVE_HEMOPOIESIS"
"delayedrectifierpotassiumchannelactivity","delayed rectifier potassium channel activity","MF","GO:0005251","GO_DELAYED_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY"
"demethylaseactivity","demethylase activity","MF","GO:0032451","GO_DEMETHYLASE_ACTIVITY"
"demethylation","demethylation","BP","GO:0070988","GO_DEMETHYLATION"
"dendrite","dendrite","CC","GO:0030425","GO_DENDRITE"
"dendritecytoplasm","dendrite cytoplasm","CC","GO:0032839","GO_DENDRITE_CYTOPLASM"
"dendritedevelopment","dendrite development","BP","GO:0016358","GO_DENDRITE_DEVELOPMENT"
"dendritemembrane","dendrite membrane","CC","GO:0032590","GO_DENDRITE_MEMBRANE"
"dendritemorphogenesis","dendrite morphogenesis","BP","GO:0048813","GO_DENDRITE_MORPHOGENESIS"
"dendriticcellchemotaxis","dendritic cell chemotaxis","BP","GO:0002407","GO_DENDRITIC_CELL_CHEMOTAXIS"
"dendriticcelldifferentiation","dendritic cell differentiation","BP","GO:0097028","GO_DENDRITIC_CELL_DIFFERENTIATION"
"dendriticcellmigration","dendritic cell migration","BP","GO:0036336","GO_DENDRITIC_CELL_MIGRATION"
"dendriticshaft","dendritic shaft","CC","GO:0043198","GO_DENDRITIC_SHAFT"
"dendriticspinedevelopment","dendritic spine development","BP","GO:0060996","GO_DENDRITIC_SPINE_DEVELOPMENT"
"dendriticspineorganization","dendritic spine organization","BP","GO:0097061","GO_DENDRITIC_SPINE_ORGANIZATION"
"denovoposttranslationalproteinfolding","'de novo' posttranslational protein folding","BP","GO:0051084","GO__DE_NOVO_POSTTRANSLATIONAL_PROTEIN_FOLDING"
"denovoproteinfolding","'de novo' protein folding","BP","GO:0006458","GO__DE_NOVO_PROTEIN_FOLDING"
"densecoregranule","dense core granule","CC","GO:0031045","GO_DENSE_CORE_GRANULE"
"dentategyrusdevelopment","dentate gyrus development","BP","GO:0021542","GO_DENTATE_GYRUS_DEVELOPMENT"
"deoxyribonucleaseactivity","deoxyribonuclease activity","MF","GO:0004536","GO_DEOXYRIBONUCLEASE_ACTIVITY"
"deoxyribonucleosidetriphosphatemetabolicprocess","deoxyribonucleoside triphosphate metabolic process","BP","GO:0009200","GO_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS"
"deoxyribonucleotidebiosyntheticprocess","deoxyribonucleotide biosynthetic process","BP","GO:0009263","GO_DEOXYRIBONUCLEOTIDE_BIOSYNTHETIC_PROCESS"
"deoxyribonucleotidemetabolicprocess","deoxyribonucleotide metabolic process","BP","GO:0009262","GO_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS"
"deoxyribosephosphatecatabolicprocess","deoxyribose phosphate catabolic process","BP","GO:0046386","GO_DEOXYRIBOSE_PHOSPHATE_CATABOLIC_PROCESS"
"dephosphorylation","dephosphorylation","BP","GO:0016311","GO_DEPHOSPHORYLATION"
"derlin1retrotranslocationcomplex","Derlin-1 retrotranslocation complex","CC","GO:0036513","GO_DERLIN_1_RETROTRANSLOCATION_COMPLEX"
"dermatansulfatemetabolicprocess","dermatan sulfate metabolic process","BP","GO:0030205","GO_DERMATAN_SULFATE_METABOLIC_PROCESS"
"dermatansulfateproteoglycanmetabolicprocess","dermatan sulfate proteoglycan metabolic process","BP","GO:0050655","GO_DERMATAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS"
"desmosome","desmosome","CC","GO:0030057","GO_DESMOSOME"
"detectionofabioticstimulus","detection of abiotic stimulus","BP","GO:0009582","GO_DETECTION_OF_ABIOTIC_STIMULUS"
"detectionofbioticstimulus","detection of biotic stimulus","BP","GO:0009595","GO_DETECTION_OF_BIOTIC_STIMULUS"
"detectionofcalciumion","detection of calcium ion","BP","GO:0005513","GO_DETECTION_OF_CALCIUM_ION"
"detectionofchemicalstimulusinvolvedinsensoryperceptionoftaste","detection of chemical stimulus involved in sensory perception of taste","BP","GO:0050912","GO_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_TASTE"
"detectionoflightstimulus","detection of light stimulus","BP","GO:0009583","GO_DETECTION_OF_LIGHT_STIMULUS"
"detectionoflightstimulusinvolvedinsensoryperception","detection of light stimulus involved in sensory perception","BP","GO:0050962","GO_DETECTION_OF_LIGHT_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION"
"detectionoflightstimulusinvolvedinvisualperception","detection of light stimulus involved in visual perception","BP","GO:0050908","GO_DETECTION_OF_LIGHT_STIMULUS_INVOLVED_IN_VISUAL_PERCEPTION"
"detectionofmechanicalstimulus","detection of mechanical stimulus","BP","GO:0050982","GO_DETECTION_OF_MECHANICAL_STIMULUS"
"detectionofmechanicalstimulusinvolvedinsensoryperception","detection of mechanical stimulus involved in sensory perception","BP","GO:0050974","GO_DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION"
"detectionofmechanicalstimulusinvolvedinsensoryperceptionofsound","detection of mechanical stimulus involved in sensory perception of sound","BP","GO:0050910","GO_DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_SOUND"
"detectionofmoleculeofbacterialorigin","detection of molecule of bacterial origin","BP","GO:0032490","GO_DETECTION_OF_MOLECULE_OF_BACTERIAL_ORIGIN"
"detectionofotherorganism","detection of other organism","BP","GO:0098543","GO_DETECTION_OF_OTHER_ORGANISM"
"detectionofstimulus","detection of stimulus","BP","GO:0051606","GO_DETECTION_OF_STIMULUS"
"detectionoftemperaturestimulus","detection of temperature stimulus","BP","GO:0016048","GO_DETECTION_OF_TEMPERATURE_STIMULUS"
"detectionoftemperaturestimulusinvolvedinsensoryperception","detection of temperature stimulus involved in sensory perception","BP","GO:0050961","GO_DETECTION_OF_TEMPERATURE_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION"
"detectionoftemperaturestimulusinvolvedinsensoryperceptionofpain","detection of temperature stimulus involved in sensory perception of pain","BP","GO:0050965","GO_DETECTION_OF_TEMPERATURE_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_PAIN"
"detectionofvisiblelight","detection of visible light","BP","GO:0009584","GO_DETECTION_OF_VISIBLE_LIGHT"
"determinationofadultlifespan","determination of adult lifespan","BP","GO:0008340","GO_DETERMINATION_OF_ADULT_LIFESPAN"
"detoxification","detoxification","BP","GO:0098754","GO_DETOXIFICATION"
"developmentalcellgrowth","developmental cell growth","BP","GO:0048588","GO_DEVELOPMENTAL_CELL_GROWTH"
"developmentalgrowth","developmental growth","BP","GO:0048589","GO_DEVELOPMENTAL_GROWTH"
"developmentalgrowthinvolvedinmorphogenesis","developmental growth involved in morphogenesis","BP","GO:0060560","GO_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS"
"developmentalinduction","developmental induction","BP","GO:0031128","GO_DEVELOPMENTAL_INDUCTION"
"developmentalmaturation","developmental maturation","BP","GO:0021700","GO_DEVELOPMENTAL_MATURATION"
"developmentalpigmentation","developmental pigmentation","BP","GO:0048066","GO_DEVELOPMENTAL_PIGMENTATION"
"developmentalprocessinvolvedinreproduction","developmental process involved in reproduction","BP","GO:0003006","GO_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION"
"developmentalprogrammedcelldeath","GO_DEVELOPMENTAL_PROGRAMMED_CELL_DEATH",NA,NA,"GO_DEVELOPMENTAL_PROGRAMMED_CELL_DEATH"
"developmentofprimarysexualcharacteristics","development of primary sexual characteristics","BP","GO:0045137","GO_DEVELOPMENT_OF_PRIMARY_SEXUAL_CHARACTERISTICS"
"diacylglycerolbinding","diacylglycerol binding","MF","GO:0019992","GO_DIACYLGLYCEROL_BINDING"
"diacylglycerolkinaseactivity","diacylglycerol kinase activity","MF","GO:0004143","GO_DIACYLGLYCEROL_KINASE_ACTIVITY"
"diacylglycerolmetabolicprocess","diacylglycerol metabolic process","BP","GO:0046339","GO_DIACYLGLYCEROL_METABOLIC_PROCESS"
"dicarboxylicacidbiosyntheticprocess","dicarboxylic acid biosynthetic process","BP","GO:0043650","GO_DICARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS"
"dicarboxylicacidcatabolicprocess","dicarboxylic acid catabolic process","BP","GO:0043649","GO_DICARBOXYLIC_ACID_CATABOLIC_PROCESS"
"dicarboxylicacidmetabolicprocess","dicarboxylic acid metabolic process","BP","GO:0043648","GO_DICARBOXYLIC_ACID_METABOLIC_PROCESS"
"dicarboxylicacidtransmembranetransporteractivity","dicarboxylic acid transmembrane transporter activity","MF","GO:0005310","GO_DICARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"
"dicarboxylicacidtransport","dicarboxylic acid transport","BP","GO:0006835","GO_DICARBOXYLIC_ACID_TRANSPORT"
"diencephalondevelopment","diencephalon development","BP","GO:0021536","GO_DIENCEPHALON_DEVELOPMENT"
"digestion","digestion","BP","GO:0007586","GO_DIGESTION"
"digestivesystemdevelopment","digestive system development","BP","GO:0055123","GO_DIGESTIVE_SYSTEM_DEVELOPMENT"
"digestivesystemprocess","digestive system process","BP","GO:0022600","GO_DIGESTIVE_SYSTEM_PROCESS"
"digestivetractmorphogenesis","digestive tract morphogenesis","BP","GO:0048546","GO_DIGESTIVE_TRACT_MORPHOGENESIS"
"diolmetabolicprocess","diol metabolic process","BP","GO:0034311","GO_DIOL_METABOLIC_PROCESS"
"dioxygenaseactivity","dioxygenase activity","MF","GO:0051213","GO_DIOXYGENASE_ACTIVITY"
"dipeptidaseactivity","dipeptidase activity","MF","GO:0016805","GO_DIPEPTIDASE_ACTIVITY"
"dipeptidylpeptidaseactivity","dipeptidyl-peptidase activity","MF","GO:0008239","GO_DIPEPTIDYL_PEPTIDASE_ACTIVITY"
"disruptionofcellsofotherorganism","disruption of cells of other organism","BP","GO:0044364","GO_DISRUPTION_OF_CELLS_OF_OTHER_ORGANISM"
"disruptionofcellsofotherorganisminvolvedinsymbioticinteraction","disruption of cells of other organism involved in symbiotic interaction","BP","GO:0051818","GO_DISRUPTION_OF_CELLS_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION"
"distaltubuledevelopment","distal tubule development","BP","GO:0072017","GO_DISTAL_TUBULE_DEVELOPMENT"
"disulfideoxidoreductaseactivity","disulfide oxidoreductase activity","MF","GO:0015036","GO_DISULFIDE_OXIDOREDUCTASE_ACTIVITY"
"divalentinorganicanionhomeostasis","divalent inorganic anion homeostasis","BP","GO:0072505","GO_DIVALENT_INORGANIC_ANION_HOMEOSTASIS"
"divalentinorganiccationhomeostasis","divalent inorganic cation homeostasis","BP","GO:0072507","GO_DIVALENT_INORGANIC_CATION_HOMEOSTASIS"
"divalentinorganiccationtransmembranetransporteractivity","divalent inorganic cation transmembrane transporter activity","MF","GO:0072509","GO_DIVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"
"divalentinorganiccationtransport","divalent inorganic cation transport","BP","GO:0072511","GO_DIVALENT_INORGANIC_CATION_TRANSPORT"
"dnaalkylation","DNA alkylation","BP","GO:0006305","GO_DNA_ALKYLATION"
"dnaapurinicorapyrimidinicsitelyaseactivity","DNA-(apurinic or apyrimidinic site) lyase activity","MF","GO:0003906","GO_DNA_APURINIC_OR_APYRIMIDINIC_SITE_LYASE_ACTIVITY"
"dnabindingbending","DNA binding, bending","MF","GO:0008301","GO_DNA_BINDING_BENDING"
"dnabiosyntheticprocess","DNA biosynthetic process","BP","GO:0071897","GO_DNA_BIOSYNTHETIC_PROCESS"
"dnacatabolicprocess","DNA catabolic process","BP","GO:0006308","GO_DNA_CATABOLIC_PROCESS"
"dnacatabolicprocessendonucleolytic","DNA catabolic process, endonucleolytic","BP","GO:0000737","GO_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC"
"dnaconformationchange","DNA conformation change","BP","GO:0071103","GO_DNA_CONFORMATION_CHANGE"
"dnadamageresponsedetectionofdnadamage","DNA damage response, detection of DNA damage","BP","GO:0042769","GO_DNA_DAMAGE_RESPONSE_DETECTION_OF_DNA_DAMAGE"
"dnadamageresponsesignaltransductionresultingintranscription","DNA damage response, signal transduction resulting in transcription","BP","GO:0042772","GO_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_RESULTING_IN_TRANSCRIPTION"
"dnadealkylation","DNA dealkylation","BP","GO:0035510","GO_DNA_DEALKYLATION"
"dnademethylation","DNA demethylation","BP","GO:0080111","GO_DNA_DEMETHYLATION"
"dnadependentatpaseactivity","DNA-dependent ATPase activity","MF","GO:0008094","GO_DNA_DEPENDENT_ATPASE_ACTIVITY"
